"asnumber","asname","totalIPs"
357,"DoD Network Information Center",393216
360,"DoD Network Information Center",65536
361,"DoD Network Information Center",393216
362,"DoD Network Information Center",65536
366,"DoD Network Information Center",65536
367,"DoD Network Information Center",196608
368,"DoD Network Information Center",65792
369,"DoD Network Information Center",65536
370,"DoD Network Information Center",131072
371,"DoD Network Information Center",65536
372,"National Aeronautics and Space Administration",1536
375,"Tieto Oyj",76032
376,"Reseau d'informations scientifiques du Quebec (RISQ)",709888
377,"Sandia National Laboratories",136708
378,"ILAN",1159168
381,"754th Electronic Systems Group",535808
382,"754th Electronic Systems Group",256
383,"754th Electronic Systems Group",283904
387,"754th Electronic Systems Group",844800
390,"754th Electronic Systems Group",659456
391,"754th Electronic Systems Group",529920
395,"754th Electronic Systems Group",809984
400,"754th Electronic Systems Group",136448
409,"754th Electronic Systems Group",272128
412,"754th Electronic Systems Group",65536
427,"754th Electronic Systems Group",132352
440,"754th Electronic Systems Group",656896
444,"754th Electronic Systems Group",398592
450,"754th Electronic Systems Group",199936
466,"754th Electronic Systems Group",133120
472,"754th Electronic Systems Group",256
474,"754th Electronic Systems Group",256
477,"754th Electronic Systems Group",256
491,"754th Electronic Systems Group",506112
497,"754th Electronic Systems Group",526592
500,"754th Electronic Systems Group",2560
509,"DoD Network Information Center",768
510,"ING Investment Management",512
511,"TCoombs & Associates, LLC",1024
513,"CERN - European Organization for Nuclear Research",287488
517,"Eurorings B.V.",512
523,"Headquarters, USAISC",264448
527,"DoD Network Information Center",256
532,"DoD Network Information Center",512
539,"Headquarters, USAISC",21248
543,"Hewlett-Packard Company",131840
545,"Corporation for National Research Initiatives",65536
546,"Sparta, Inc.",2304
547,"IBM",256
549,"GTAnet Networking",2048
552,"DoD Network Information Center",65536
553,"Landeshochschulnetz Baden-Wuerttemberg (BelWue)",2114048
555,"Velocity Technology Solutions II, Inc.",131584
557,"University of Maine System",296448
558,"Net Data Centers, Inc.",43264
559,"SWITCH, Swiss Education and Research Network",2308352
560,"Level 3 Communications, Inc.",256
565,"Technical Research Centre of Finland",65536
566,"Canadian Space Agency",1024
571,"DoD Network Information Center",19968
575,"Headquarters, USAISC",1280
577,"Bell Canada",5027552
578,"Packaging Dynamics",256
579,"Glynlyon",512
589,"University of North Texas",65792
596,"Level 3 Communications, Inc.",60160
597,"Level 3 Communications, Inc.",5376
600,"OARnet",1365760
603,"Bell Canada",23808
605,"Vanguard Health Management, Inc.",256
607,"Nico Holdings LLC",512
609,"Ernst & Young LLP",1024
610,"HERE North America LLC",256
611,"University of Toronto",344060
612,"PRECISION TECHNOLOGY Inc",4864
613,"BP America, Inc.",512
615,"Headquarters, USAISC",256
616,"DoD Network Information Center",1792
619,"DoD Network Information Center",512
627,"DoD Network Information Center",6656
637,"DoD Network Information Center",60672
638,"DoD Network Information Center",1280
647,"DoD Network Information Center",358400
655,"DoD Network Information Center",512
664,"DoD Network Information Center",1024
665,"DoD Network Information Center",1194496
668,"DoD Network Information Center",3294336
670,"Headquarters, USAISC",256
671,"Headquarters, USAISC",256
672,"Headquarters, USAISC",256
673,"Headquarters, USAISC",256
676,"United Nations Development Programme",3840
679,"Vienna University of Technology",132352
680,"Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.",8034560
681,"The University of Waikato",66048
683,"Argonne National Lab",304640
687,"DoD Network Information Center",67840
688,"Department of Interior",98304
693,"University of Notre Dame",77824
698,"University of Illinois at Urbana-Champaign",12288
699,"KANOBE INC",3584
701,"MCI Communications Services, Inc. d/b/a Verizon Business",44024576
702,"MCI Communications Services, Inc. d/b/a Verizon Business",6313728
703,"MCI Communications Services, Inc. d/b/a Verizon Business",846228
705,"MCI Communications Services, Inc. d/b/a Verizon Business",53248
714,"Apple Inc.",16779520
715,"WoodyNet",21248
719,"Elisa Oyj",2760704
721,"DoD Network Information Center",49255040
722,"DoD Network Information Center",512
724,"DoD Network Information Center",33024
745,"754th Electronic Systems Group",66048
747,"Headquarters, USAISC",308736
760,"University of Vienna, Austria",100096
764,"Prime Minister's Office",9728
766,"Entidad Publica Empresarial Red.es",1584640
771,"National Aeronautics and Space Administration",133120
773,"SPARTA, Incorporated",13056
775,"Institut National de Recherche en Informatique",65792
776,"INRIA Sophia-Antipolis",65536
777,"CEA-Saclay",68096
781,"Reseaux Regionaux StanNet et AmperNet",256
786,"JISC Collections And Janet Limited",7546880
789,"IN2P3 Autonomous System",62976
790,"Elisa Oyj",782976
792,"Oracle Corporation",36864
793,"Oracle Corporation",16384
794,"Oracle Corporation",147712
797,"AT&T Services, Inc.",398848
801,"Forestry Canada - Maritimes Region",256
802,"York University",71936
803,"Saskatchewan Telecommunications",517888
808,"GONET",829696
812,"Rogers Cable Communications Inc.",3812352
813,"MCI Communications Services, Inc. d/b/a Verizon Business",11264
818,"Department of Communications",65792
819,"LARG*net",11008
822,"St. Joseph's Health Centre",131072
823,"The University of Western Ontario",65536
825,"Canadian Forces Weather Services",4096
841,"Canadian Research Network",24576
852,"TELUS Communications Inc.",5159328
855,"Bell Aliant Regional Communications, Inc.",885184
940,"GONET",4352
1101,"IP-EEND BV",1837824
1102,"SURFnet BV P.O. Box Utrecht NL",513
1103,"SURFnet, The Netherlands",8608000
1104,"FOM-Nikhef",2560
1109,"University of Salzburg",65536
1110,"University of Innsbruck",65536
1111,"University of Klagenfurt",65536
1112,"Montanuniversitaet Leoben",256
1113,"Technische Universitaet Graz,",65536
1114,"Universitaet Graz",65536
1117,"Universitaet fuer Bodenkultur, Wien",65536
1120,"ACOnet Services @ Vienna Internet eXchange",768
1124,"Universiteit van Amsterdam",163840
1125,"SURFnet Test Network",65536
1126,"Vancis Advanced ICT Services",12544
1128,"DTO TUDELFT, The Netherlands - AS",196608
1132,"Meteo Consult BV",768
1133,"University Twente",65536
1134,"KPN Mobile Network Operator",73216
1136,"KPN Internet Solutions",3258320
1140,"Stichting Internet Domeinregistratie Nederland",2304
1142,"Springer Science and Business Media B.V.",1536
1145,"Kennisnet",4096
1147,"Medisch Centrum Leeuwarden",32768
1161,"Technische Universiteit Eindhoven (TU/e)",69631
1197,"Network Ability Limited",2048
1200,"Amsterdam Internet Exchange B.V.",5120
1201,"Old Dominion University",65536
1202,"National Aeronautics and Space Administration",344832
1204,"State University of New York, Central",4352
1205,"University Linz",67584
1206,"Pittsburgh Supercomputing Center",49664
1207,"Pittsburgh Supercomputing Center",16384
1208,"DoD Network Information Center",8192
1213,"HEAnet Limited",1773568
1215,"Oracle Corporation",16384
1217,"Oracle Corporation",1280
1221,"Telstra Pty Ltd",14131796
1222,"EL PASO COMMUNITY COLLEGE",768
1224,"National Center for Supercomputing Applications",131328
1226,"California Technology Agency",1160448
1234,"Fortum",2048
1236,"General Dynamics C4 Systems, Inc.",1792
1237,"Korea Institute of Science and Technology Information",332288
1239,"Sprint",9748228
1241,"Forthnet",674816
1246,"Zito Media",21760
1248,"HERE Internet",45312
1249,"Five Colleges Network",283904
1251,"FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO",221184
1252,"University of Nebraska Medical Center",139008
1254,"National Aeronautics and Space Administration",131840
1257,"TELE2",5170048
1258,"XKL, LLC",256
1261,"National Instruments Corporation",65536
1267,"WIND Telecomunicazioni S.p.A.",6193408
1273,"Cable and Wireless Worldwide plc",2788088
1277,"FiberMedia Group, LLC",2304
1280,"Internet Systems Consortium, Inc.",176640
1286,"Altay Corporation",3840
1287,"Professional Education Institute",768
1289,"Colgate University",65536
1290,"Telstra Europe Ltd",1142528
1293,"Hewlett-Packard Company",768
1294,"Dell, Inc.",71680
1295,"General Electric Company",76032
1297,"CERN - European Organization for Nuclear Research",512
1299,"TeliaSonera International Carrier",515584
1301,"Electricite de France Service National",9216
1303,"FR-IDRIS-ORSAY",66560
1307,"FR-U-JUSSIEU-PARIS",130560
1311,"BARRA",1024
1312,"Virginia Polytechnic Institute and State Univ.",132608
1313,"Adobe Systems Inc.",768
1316,"National Aeronautics and Space Administration",131584
1317,"Navy Network Information Center (NNIC)",68096
1328,"Advanced Networks & Services Inc.",1792
1331,"Advanced Networks & Services Inc.",1280
1333,"Advanced Networks & Services Inc.",256
1341,"Allen-Bradley Company, Inc.",135680
1342,"Fujitsu Invia Finland IP-network",90112
1343,"Cisco Systems",5120
1347,"Onvoy",18944
1348,"California Department of Transportation",47360
1350,"Sears Technology Services Incorporated",1280
1351,"University of Vermont",65536
1355,"American Home Mortgage Servicing, Inc.",256
1356,"Sullivan & Cromwell",256
1358,"Hughes Network Systems, Inc.",63744
1359,"Institute of Nuclear Power Operations, Inc.",256
1378,"Interbel Telephone Cooperative, Inc.",4096
1379,"Sybase 365, Inc",2048
1380,"McVEAN Trading & Investments, LLC",256
1395,"Advanced Networks & Services Inc.",1792
1396,"ThinkTech, Inc",256
1397,"ThinkTech, Inc",512
1398,"ThinkTech, Inc",512
1399,"ThinkTech, Inc",1024
1400,"ThinkTech, Inc",512
1401,"DSW Information Technology LLC.",1024
1403,"ELECTRONIC BOX",190464
1404,"VerticalResponse, Inc.",1024
1405,"LION APPAREL",256
1406,"Motorola Inc",6144
1407,"Quotemedia",256
1409,"Catapulsion LLC",768
1410,"SMITH BAGLEY INC",4096
1411,"Christopher Newport University",65536
1412,"Gravity Interactive, Inc.",1056
1413,"Sbarro Inc",4096
1414,"Genuine Parts Company",1024
1415,"Christus Health",6400
1416,"Chicago Public Schools",9216
1418,"MATE1.COM, INC.",256
1419,"Selerity Financial, Inc.",512
1420,"STL OFFICE SOLUTIONS, INC.",1024
1421,"WANSecurity, Inc.",17152
1422,"Media6degrees",1792
1423,"Carson Communications, LLC",8448
1426,"Lightwave Networking, LLC",1024
1427,"Alion Science and Technology Corporation",1024
1428,"DRW Holdings, LLC",256
1429,"FriendFinder Networks Inc",256
1430,"Board of Bar Overseers",256
1432,"Albion College",65536
1433,"Valinor Management, LLC",256
1434,"DW Investment Management, LP",256
1435,"100 NWT Fee Owner LP",1792
1436,"Meridian Health System",1024
1437,"Visonex LLC",256
1438,"PIONEER STATE MUTUAL INSURANCE CO.",256
1440,"Alford Media Services, Inc.",256
1442,"SureHosting Internet Solutions, Inc.",3072
1443,"CooperVision, Inc.",1280
1444,"Virtual Care Provider, Inc.",1792
1445,"Milliman, Inc.",512
1446,"Tutor Perini Corporation",256
1447,"Chipotle Mexican Grill, INC",256
1451,"Headquarters, USAISC",132864
1452,"Headquarters, USAISC",463360
1453,"Headquarters, USAISC",66816
1455,"Headquarters, USAISC",3328
1456,"Headquarters, USAISC",3072
1457,"Headquarters, USAISC",17920
1458,"Headquarters, USAISC",65536
1460,"Headquarters, USAISC",132096
1461,"Headquarters, USAISC",5888
1462,"Headquarters, USAISC",133120
1463,"Headquarters, USAISC",72192
1464,"Headquarters, USAISC",341760
1465,"Headquarters, USAISC",256
1466,"Headquarters, USAISC",66816
1467,"Headquarters, USAISC",219392
1468,"Headquarters, USAISC",133632
1471,"Headquarters, USAISC",1536
1472,"Headquarters, USAISC",67840
1474,"Headquarters, USAISC",133120
1475,"Headquarters, USAISC",66048
1476,"Headquarters, USAISC",65792
1477,"Headquarters, USAISC",198912
1479,"Headquarters, USAISC",135680
1480,"Headquarters, USAISC",70912
1482,"Headquarters, USAISC",279808
1483,"Headquarters, USAISC",131328
1484,"Headquarters, USAISC",65536
1488,"Headquarters, USAISC",301312
1489,"Headquarters, USAISC",176640
1491,"Headquarters, USAISC",151040
1493,"Headquarters, USAISC",62976
1494,"Headquarters, USAISC",71680
1495,"Headquarters, USAISC",65792
1498,"Headquarters, USAISC",161280
1500,"Headquarters, USAISC",133888
1501,"Headquarters, USAISC",4608
1502,"Headquarters, USAISC",23296
1503,"Headquarters, USAISC",378368
1504,"Headquarters, USAISC",200704
1505,"Headquarters, USAISC",132608
1506,"Headquarters, USAISC",132352
1509,"Headquarters, USAISC",73984
1510,"Headquarters, USAISC",67328
1511,"Headquarters, USAISC",768
1515,"Headquarters, USAISC",67840
1516,"Headquarters, USAISC",2048
1519,"Headquarters, USAISC",65792
1524,"Headquarters, USAISC",65792
1525,"Headquarters, USAISC",65792
1526,"Headquarters, USAISC",2304
1527,"Headquarters, USAISC",74240
1528,"Headquarters, USAISC",66048
1531,"Headquarters, USAISC",3584
1533,"Headquarters, USAISC",65536
1535,"Headquarters, USAISC",65792
1547,"JSCC Interdnestrcom",62464
1551,"DoD Network Information Center",8192
1553,"DoD Network Information Center",512
1554,"DoD Network Information Center",72448
1555,"DoD Network Information Center",68608
1556,"DoD Network Information Center",131840
1559,"DoD Network Information Center",65792
1562,"DoD Network Information Center",66048
1563,"DoD Network Information Center",512
1564,"DoD Network Information Center",256
1565,"DoD Network Information Center",65536
1567,"DoD Network Information Center",32768
1568,"DoD Network Information Center",37120
1569,"DoD Network Information Center",131840
1580,"DoD Network Information Center",66560
1582,"DoD Network Information Center",132352
1585,"DoD Network Information Center",147968
1586,"DoD Network Information Center",65536
1590,"DoD Network Information Center",37376
1591,"DoD Network Information Center",82944
1598,"DoD Network Information Center",3840
1599,"DoD Network Information Center",3328
1600,"DoD Network Information Center",149248
1602,"Headquarters, USAISC",196608
1603,"Henderson State University",2560
1605,"Allegiant Travel Company",1280
1606,"Excelenet, Inc",1024
1608,"ITG INC",256
1609,"Global Imaging Systems Inc",768
1610,"Contegix",8960
1611,"Online Buddies, Inc.",256
1612,"Flux Telecom, LLC",2304
1613,"Target Media Partners Interactive, LLC",512
1614,"IOWA STUDENT LOAN LIQUIDITY CORP.",1024
1615,"Exelixis Inc.",256
1616,"CoreLink Data Centers",10496
1617,"Jacobs Levy Equity Management, Inc.",512
1619,"Planet Data Solutions, Inc.",256
1620,"doelegal llc",512
1621,"Securian Financial Group, Inc.",65536
1622,"NCH Capital Inc.",256
1623,"WDT World Discount Telecommunications",1536
1624,"SITA Information Networking Computing Canada Ltd",256
1625,"CoreSpace, Inc.",2048
1628,"Community DNS Ltd.",768
1629,"Rose Associates, Inc",512
1632,"SONIC HEALTHCARE USA, INC.",512
1633,"353233 Alberta LTD",256
1634,"Pennsylvania Coalition Against Domestic Violence",1024
1635,"Weidenhammer",256
1636,"True Negative, LLC",512
1637,"Headquarters, USAISC",197120
1638,"Mott Community College",256
1640,"T.V. SERVICE INC",16384
1641,"Staples Contract & Commercial, Inc.",768
1642,"Colorcon Inc",1024
1643,"Brockway Television Inc.",2048
1645,"PACHEZ HOLDINGS LTD.",512
1646,"American Solutions for Business",256
1647,"Interop Technologies",512
1648,"Jefferson Parish School Board",16384
1649,"Headquarters, USAISC",131072
1650,"Cambridge Public Schools",256
1651,"Cablelynx",7424
1652,"MIDFLORIDA Federal Credit Union",512
1653,"SUNET Swedish University Network",482560
1654,"Skogen Network",512
1655,"Navy Network Information Center (NNIC)",65536
1657,"University of Louisville",65536
1659,"Tiawan Academic Network (TANet) Information Center",5171968
1660,"ANS Communications",2317056
1661,"ANS Communications",16640
1663,"Bertelsmann AG",3840
1668,"AOL Transit Data Network",5484800
1672,"ANS Communications",4096
1675,"ANS Communications",1280
1676,"American Standard, Inc.",512
1678,"The Dow Chemical Company",2560
1680,"013 NetVision Ltd.",1655808
1689,"ANS Communications",3584
1695,"ANS Communications",1024
1696,"Citigroup",2560
1698,"AT&T Internet Services",5888
1699,"ANS Communications",21504
1701,"National Aeronautics and Space Administration",137216
1702,"CHICAGO STATE UNIVERSITY",1024
1704,"Korea Advanced Institute of Science and Technology",65536
1705,"Hewlett-Packard Company",8704
1706,"University of Arizona",216320
1708,"Centre National d'Etudes des Telecommunication -- CNET",134144
1712,"Ecole Nationale Superieure des Telecommunications",65536
1715,"REMIP 2000 Autonomous System",393216
1723,"Reseau Regional de la Region Languedoc Roussillon",131072
1725,"Reseau NOROPALE",65536
1729,"TeliaSonera AB",132864
1730,"Pharma Plus DrugMarts",2048
1733,"DoD Network Information Center",4864
1734,"Contra Costa County Regional Occupation Program / Richmond",768
1736,"Marquette University",65536
1738,"OP-Pohjola Group Central Cooperative",65792
1739,"TUT Autonomous System",65792
1741,"FUNET autonomous system",778752
1742,"Harvard University",210944
1746,"Data Research Associates, Inc.",4608
1747,"IBM T.J. Watson Research Center",66560
1749,"National Aeronautics and Space Administration",98560
1751,"Lexmark International Inc.",256
1754,"DESY-HAMBURG",131328
1756,"Shiraz Hamyar Co.",16384
1757,"LEXIS-NEXIS",72704
1759,"TeliaSonera Finland IP Network",3268096
1761,"General Services Commission",2692608
1764,"next layer Telekommunikationsdienstleistungs- GmbH",51456
1766,"Exxon Mobil Corporation",6912
1767,"Indiana Higher Education Telecommunication System",733696
1770,"Ringstad Consulting AS",512
1773,"S.J. Levinson & Sons LLC",256
1776,"Wirtschaftsuniversitaet Wien",65536
1777,"Saint Xavier University",1536
1778,"DoD Network Information Center",134144
1781,"Korea Advanced Institute of Science and Technology",73728
1782,"Espalier Global Management LLC",256
1783,"Tourmalet Advisors LP",256
1785,"PaeTec Communications, Inc.",1139712
1789,"Sprint Government Systems Division",4352
1790,"Sprint Government Systems Division",104448
1796,"Graded Labs, LLC",256
1797,"Uruguay",65536
1798,"State of Oregon",220416
1803,"Sprint",5841
1810,"Computer Sciences Corporation",25344
1813,"Computer Sciences Corporation",4864
1814,"Computer Sciences Corporation",14592
1815,"Computer Sciences Corporation",4608
1818,"DIALOG TELECOMMUNICATIONS, INC.",2304
1819,"DCM Cable Inc.",2048
1821,"Network Innovations Inc.",256
1823,"Hannah Motor Company",1024
1824,"Vertisoft",256
1825,"SetClear Pte. Ltd.",7680
1826,"University of Arkansas-Fort Smith",1024
1827,"Manatee County Government",512
1828,"Unitas Global LLC",10240
1830,"Gulf Coast State College",4096
1831,"ITESO, A.C.",65536
1832,"Southern Methodist University",65536
1835,"Forskningsnettet - Danish network for Research and Education",175360
1836,"green.ch AG Autonomous System",617472
1837,"NATO Communications and Information Agency",512
1838,"CERFnet",5376
1840,"Universidad de Las Americas-Puebla",65536
1842,"United States Geological Survey",5120
1843,"National Aeronautics and Space Administration",266752
1849,"Verizon UK Limited",768
1850,"Internet Iceland Inc. (ISNIC)",512
1851,"The University of Adelaide",66560
1852,"University of California - Office of the President",256
1853,"ACOnet Backbone",529152
1873,"Hewlett-Packard Company",768
1879,"Svensk Teleutveckling & Produktinnovation, STUPI AB",768
1880,"Svensk Teleutveckling & Produktinnovation, STUPI AB",6400
1881,"FMV",66048
1885,"SBN Sigorta",256
1886,"BTnet d.o.o.",5120
1887,"NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA INSTYTUT BADAWCZY",80384
1888,"Stichting Centrum voor Wiskunde en Informatica",1280
1889,"Hewlett Packard Europe S.A.S.",1024
1897,"NOVIS Telecom, S.A.",66048
1898,"Torsten Blum",512
1901,"A1 Telekom Austria AG",564480
1904,"DoD Network Information Center",3584
1906,"Northrop Grumman",932096
1909,"San Diego Supercomputer Center",256
1913,"DoD Network Information Center",3072
1916,"Associação Rede Nacional de Ensino e Pesquisa",916992
1921,"NIC.at head office Salzburg",1024
1929,"University of Massachusetts",1024
1930,"Rede Ciencia Tecnologia e Sociedade (RCTS)",318976
1931,"Hewlett-Packard Company",3072
1932,"Consolidated Edison Co. of New York, Inc.",65536
1935,"Reseau Regional Limousin",65792
1938,"Irisa/Inria Rennes",65536
1942,"Toile Informatique GREnobloise",327936
1945,"Lyon Recherche et Enseignement Supérieur (LyRES)",131072
1948,"Education and research network of the Saclay plateau",131072
1955,"HUNGARNET",260352
1956,"IBM",256
1959,"DoD Network Information Center",65792
1965,"Texas Utilities Services, Inc.",81920
1967,"Middle East Technical University",65536
1968,"University of Massachusettes",304896
1970,"Texas A&M University",293376
1972,"USC/ISI",768
1975,"PROQUEST LLC",47616
1982,"Northwest Nexus Inc.",100864
1985,"Navy Network Information Center (NNIC)",8448
1989,"Navy Network Information Center (NNIC)",7168
1996,"Fairdinkum Consulting, LLC",1024
1998,"State of Minnesota",501248
1999,"U.S. House of Representatives",197120
2003,"Electric Power Research Institute",65536
2011,"Wachovia Operational Services Corporation",256
2012,"ELTENET",65792
2013,"PG&E",198656
2015,"Msen, Inc.",123136
2018,"TENET-1",1090304
2020,"Adhesives Research, Inc.",256
2021,"UNISYS",7936
2024,"Northeast Utilities",65536
2025,"University of Toledo",123392
2027,"Medecins Sans Frontieres",256
2031,"St. Louis County Water Company",512
2033,"Panix Network Information Center",69120
2035,"Alliant Techsystems",133120
2036,"RESEARCH",65536
2037,"California State University at Fresno",65536
2041,"St. Norbert College",65536
2042,"JARING Communications Sdn Bhd.",516608
2043,"CIS-NET TESTNETWORK",1280
2044,"Infinity Internet, Inc.",171008
2046,"DoD Network Information Center",3584
2047,"F. Hoffmann-La Roche AG",3840
2048,"State of Louisiana Office of Telecommunications Management",218624
2050,"Sprint Enterprise Information Services",22784
2055,"Louisiana State University",202496
2060,"RENATER_ASNBLOCK1",65536
2065,"Reseau metropolitain de Montpellier HDMON",65536
2072,"Reseau REVE",9616
2088,"Reseau National de telecommunications pour la Technologie",768
2089,"FR",256
2094,"Telecom & Management Sud Paris",65280
2107,"ARNES",374272
2108,"Croatian Academic and Research Network",229632
2109,"TDC A/S",1024
2110,"BT Communications Ireland Limited",420096
2111,"SkyNet Group Ltd",4096
2114,"ESCUELAS DE ESTUDIOS SUPERIORES ESIC SACERDOTES DEL CORAZON DE JESUS PADRES REPARADORES",2048
2115,"OPEGIEKA Sp. z o.o.",256
2116,"Broadnet AS",1443072
2118,"OOO NPO Relcom",224768
